# 정리 표 — PLAN.md §0.6. 문장은 여기 한 번만 쓴다; 덱의 <!--THM id=…--> 가 이 칸을 찍는다.
# M = 7부 도구, L = 보조정리, T = 본 정리(§3.5). 2026-09-25 T17·T30·T31 은 측정대로 고쳐 적었다(PLAN 진행 기록).
id	statement	level	proof-kind	prerequisites	witness-test	cite-key
T25	여러 차원의 칼만 필터: 예측 <span class="mi"><i>P</i>⁻ = <i>FPF</i><sup>T</sup> + <i>Q</i></span>, 갱신 <span class="mi"><i>K</i> = <i>P</i>⁻<i>H</i><sup>T</sup>(<i>HP</i>⁻<i>H</i><sup>T</sup> + <i>R</i>)<sup>−1</sup></span>. 모델이 맞으면 혁신(잔차)은 흰 잡음이다	심화	sketch	T24	py/tests/test_estimator.py::test_innovation_consistent_and_white	madgwick2010
T26	GNSS 측위: 의사거리 <span class="mi"><i>ρ</i><sub><i>i</i></sub> = |<b>s</b><sub><i>i</i></sub> − <b>r</b>| + <i>b</i></span>가 넷 이상이고 방향이 고루 퍼져 있으면, 뉴턴 반복이 위치 <span class="mi"><b>r</b></span>와 시계 오차 <span class="mi"><i>b</i></span>를 함께 찾는다	1학년	full	M25,L15	ex/tests/test_ex.py::test_recovers_position	-
T27	멈춤→멈춤 조건(양 끝 값과 1~3계 도함수)을 지키는 곡선 가운데 <span class="mi">∫(<i>x</i>⁗)² d<i>t</i></span>를 가장 작게 하는 것은 7차 다항식 하나뿐이다 (<span class="mi"><i>x</i><sup>(8)</sup> = 0</span>). 여러 구간이면 경유점에서 6계 도함수까지 이어진 7차 조각들이다	1학년	full	L11,L12,M12	py/tests/test_poly.py::test_random_perturbations_never_lower_cost	mellinger2011-minsnap
T28	속도 <span class="mi"><i>v</i><sub>max</sub></span>·가속도 <span class="mi"><i>a</i><sub>max</sub></span> 한계 안에서 멈춤→멈춤으로 거리 <span class="mi"><i>d</i></span>를 가는 가장 짧은 시간은 사다리꼴 프로파일의 <span class="mi"><i>d</i>/<i>v</i><sub>max</sub> + <i>v</i><sub>max</sub>/<i>a</i><sub>max</sub></span>이다 (<span class="mi"><i>d</i> &lt; <i>v</i><sub>max</sub>²/<i>a</i><sub>max</sub></span>이면 삼각형: <span class="mi">2√(<i>d</i>/<i>a</i><sub>max</sub>)</span>)	1학년	full	L13,L14	py/tests/test_profile.py::test_polynomial_profile_is_slower	-
T29	헝가리안 방법은 할당 문제의 최적해를 낸다 (잠재값이 쌍대 조건을 지키는 동안 0 비용 칸으로만 늘리므로). 걸음 수는 <span class="mi"><i>O</i>(<i>n</i>³)</span>이다	1학년	sketch	-	py/tests/test_assign.py::test_equals_brute_force	-
T30	무교차 보조정리: 평면에서 그냥 거리의 합이 가장 작은 할당은 경로가 서로 엇갈리지 않는다. 제곱 거리의 합에는 성립하지 않는다 (L24)	1학년	full	M5	py/tests/test_assign.py::test_plain_cost_optimum_never_crosses	-
T31	동기 직선 이동의 안전 (CAPT 의 핵심): 출발 간격과 도착 간격이 모두 <span class="mi"><i>δ</i></span> 이상이고 제곱 거리 합이 가장 작은 할당으로 모두 같은 <span class="mi"><i>β</i>(<i>u</i>)</span>를 따라 직선으로 가면, 이동 내내 어느 두 대도 <span class="mi"><i>δ</i>/√2</span>보다 가깝지 않다	1학년	full	L9,L10,L21	py/tests/test_assign.py::test_distance_bound_holds	turpin2014-capt
T32	간격 보장: 다트 던지기 표본은 간격 <span class="mi"><i>r</i></span>를 지키고(L16), 단위 구 피보나치 격자를 <span class="mi"><i>d</i>/<i>m</i>₁</span>배 하면 간격이 정확히 <span class="mi"><i>d</i></span>가 된다	1학년	full	L16,M27	py/tests/test_formation.py::test_poisson_min_distance	-
T33	원근: 거리 <span class="mi"><i>D</i></span>에서 너비 <span class="mi"><i>W</i></span>인 편대는 <span class="mi">2 atan(<i>W</i>/2<i>D</i>)</span> 라디안으로 보이고, <span class="mi"><i>W</i>/<i>D</i></span> 가 작으면 <span class="mi">≈ <i>W</i>/<i>D</i></span>이다. 깊이를 조금 바꿔도 크기는 거의 변하지 않는다 — 쇼는 2.5차원이다	1학년	full	M14	py/tests/test_render.py::test_small_angle	-
T34	LED 색을 섞을 때는 빛의 양(감마를 푼 값)으로 섞어야 한다 — 부호 값을 그대로 평균하면 중간색이 어둡게 나온다. 몇 단계로만 낼 수 있는 밝기는 오차를 이웃에 넘겨(디더링) 평균을 맞춘다	1학년	sketch	L22	py/tests/test_render.py::test_mix_in_linear_light	-
T35	다운워시와 이륙: 이륙 격자의 간격이 비행 간격보다 좁으면 층을 나눠 이륙하고, 층의 차례를 다운워시 영향이 적게 정한다 (Skybrush 문서)	1학년	cited	-	-	skybrush-formations
L27	RK4 한 걸음은 해가 3차 이하 다항식인 문제에서 정확하다 — 국소 오차가 <span class="mi"><i>O</i>(d<i>t</i>⁵)</span>인 까닭	1학년	sketch	M13	py/tests/test_rigidbody.py::test_rk4_exact_for_cubic	-
L28	CRC 체크섬은 패킷의 비트 하나가 뒤집힌 오류를 반드시 잡는다 (생성 다항식의 항이 둘 이상일 때)	1학년	sketch	-	ex/tests/test_ex.py::test_bit_flip_detected	mavlink-serialization
